========================================================================================================================
                          MONSRISE 阵型胜率与优化次数汇总报告 (Cycle 0 正统系统训练同步版)                  
========================================================================================================================
阵型名称 (Formation ID)                        | R0 根谱系       | 层级 (Tier)  | L3 胜率      | L2 胜率      | L1 实测胜率        | 优化次数
------------------------------------------------------------------------------------------------------------------------
t0:golden_boom                             | golden_boom  | T0         |        -   |    77.7%   |      77.7%   |        0
t0:all2prayer                              | all2prayer   | T0         |        -   |    72.7%   |      73.8%   |        0
t0:nutsavior                               | nutsavior    | T0         |        -   |    70.5%   |      70.5%   |        0
t0:gift_jungle                             | gift_jungle  | T0         |        -   |    64.5%   |      64.5%   |        0
t0:suqing                                  | suqing       | T0         |        -   |    58.6%   |      58.6%   |        0
t0:all2rush                                | all2rush     | T0         |        -   |    55.0%   |      55.2%   |        0
t0:springsword                             | springsword  | T0         |        -   |    47.3%   |      47.3%   |        0
t0:gift_savior                             | gift_savior  | T0         |        -   |    45.9%   |      45.9%   |        0
t0:laddersel                               | laddersel    | T0         |        -   |    43.2%   |      41.9%   |        0
t0:classicsavior                           | classicsavior | T0         |        -   |    40.0%   |      39.5%   |        0
t0:spade_multi                             | spade_multi  | T0         |        -   |    32.7%   |      31.9%   |        0
cand:golden_boom:spatial_local:c2_120      | golden_boom  | T1         |    98.1%   |    77.7%   |      79.0%   |        4
cand:golden_boom:strategy_schedule_bran... | golden_boom  | T1         |   100.0%   |    77.7%   |      79.0%   |        4
cand:golden_boom:spatial_local:0           | golden_boom  | T1         |   100.0%   |    77.7%   |      77.7%   |        4
cand:golden_boom:strategy_schedule_bran... | golden_boom  | T1         |   100.0%   |    77.7%   |      77.7%   |        4
cand:golden_boom:strategy_schedule_bran... | golden_boom  | T1         |   100.0%   |    77.7%   |      77.7%   |        4
cand:all2prayer:multi_monster_explorati... | all2prayer   | T1         |    84.4%   |    72.7%   |      73.8%   |        4
cand:all2prayer:formation_transform:0      | all2prayer   | T1         |    62.5%   |    72.7%   |      72.7%   |        1
cand:nutsavior:spatial_local:c2_108        | nutsavior    | T1         |   100.0%   |    70.5%   |      71.4%   |        4
cand:nutsavior:strategy_schedule_branch... | nutsavior    | T1         |   100.0%   |    70.5%   |      71.4%   |        4
cand:nutsavior:spatial_local:0             | nutsavior    | T1         |   100.0%   |    70.5%   |      70.5%   |        4
cand:nutsavior:spatial_local:c0_110        | nutsavior    | T1         |   100.0%   |    70.5%   |      70.5%   |        4
cand:nutsavior:strategy_schedule_branch... | nutsavior    | T1         |   100.0%   |    70.5%   |      70.5%   |        4
cand:nutsavior:strategy_schedule_branch... | nutsavior    | T1         |   100.0%   |    70.5%   |      70.5%   |        4
cand:gift_jungle:spatial_local:c2_109      | gift_jungle  | T2         |    94.4%   |    64.5%   |      65.2%   |        4
cand:gift_jungle:strategy_schedule_bran... | gift_jungle  | T2         |   100.0%   |    64.5%   |      65.2%   |        4
cand:gift_jungle:formation_transform:c0... | gift_jungle  | T2         |   100.0%   |    64.5%   |      64.5%   |        4
cand:gift_jungle:formation_transform:c1... | gift_jungle  | T2         |   100.0%   |    64.5%   |      64.5%   |        4
cand:suqing:formation_transform:c0_flip    | suqing       | T2         |   100.0%   |    58.6%   |      58.6%   |        4
cand:suqing:formation_transform:c1_flip    | suqing       | T2         |   100.0%   |    58.6%   |      58.6%   |        4
cand:suqing:spatial_local:c2_101           | suqing       | T2         |    91.9%   |    58.6%   |      58.1%   |        4
cand:suqing:strategy_schedule_branch:c2... | suqing       | T2         |    96.3%   |    58.6%   |      58.1%   |        4
cand:all2rush:spatial_local:0              | all2rush     | T2         |    37.5%   |    55.0%   |      55.2%   |        1
